id,route_id,stop_id,current_stop_in_route
2441,102,667,1
2982,110,814,21
4695,134,5296,8
8713,930,4700,3
3869,124,1306,8
1224,11,4041,14
266,N,3209,2
8415,920,4665,9
1351,12,1535,21
7689,345,578,4
5148,143,3918,25
6772,249,4120,2
200,D,4891,18
3041,111,1945,42
6657,248,4249,12
6690,248,1269,10
1102,10,1637,24
8906,936,2871,9
8652,927,5346,2
294,N,3517,20
3978,125,442,26
2867,107,1071,50
7175,255,803,0
8424,920,535,6
7282,257,285,5
1168,10,1611,5
8832,934,3711,18
2256,23,1499,3
8939,936,3669,26
6306,245,853,1
6224,245,5149,14
2068,21,2132,22
4858,136,864,0
4577,132,4192,7
5531,150,730,14
8390,917,2124,4
804,6,1564,9
1330,12,1397,19
3815,123,1755,16
6057,243,90,37
4069,126,5285,4
5949,241,199,5
2495,103,94,3
7275,255,652,28
2656,105,2173,8
7491,259,1189,9
6393,246,3547,9
3961,125,299,9
369,1,1475,19
1212,11,1346,7
8646,924,3624,35
6148,244,5109,3
853,7,3125,0
3757,122,2174,2
6762,249,3801,47
1085,10,4128,7
7173,253,4891,10
5353,146,556,22
5510,149,2793,8
6589,247,1268,32
363,1,1623,13
572,3,1560,2
8625,924,3017,32
8357,914,4772,32
2332,101,85,5
7562,315,553,10
4086,126,113,7
7158,253,637,21
6850,249,1156,6
5305,145,556,29
2725,106,205,16
8609,924,710,20
3060,111,3013,19
407,2,2818,8
1583,15,1596,9
1839,18,1535,29
454,3,1491,6
867,7,3772,14
7547,315,5316,10
8812,933,384,10
6106,243,525,8
9020,938,3863,3
8733,931,3714,7
2049,21,2359,3
478,3,3228,30
4531,132,779,8
5788,241,3758,5
5940,241,293,10
6554,247,2792,36
8361,914,3617,2
2113,21,3773,7
4855,136,1141,5
7140,253,3010,46
5776,240,816,9
5161,144,3834,1
5984,242,947,22
6262,245,123,26
8653,927,5288,3
1924,19,1491,11
2845,107,1791,28
3849,124,293,22
1002,9,2735,24
2579,104,788,8
2798,107,177,35
987,9,1428,9
242,K,451,25
7733,602,3526,8
9144,958,3974,2
4418,130,639,10
836,6,1535,19
8500,921,2828,32
8767,931,3609,4
6252,245,230,16
1685,17,1536,6
364,1,1869,14
5357,147,3421,0
6929,251,763,6
3887,124,2794,26
1233,11,1375,23
3368,117,1777,17
7680,319,4646,46
7381,257,5151,15
2355,101,2173,3
3646,121,608,17
5008,143,4845,7
6070,243,3008,12
7447,259,977,19
4130,127,115,33
1445,13,3520,11
1196,11,1528,22
3294,116,607,2
428,2,1709,11
7913,903,4291,14
8536,923,85,3
2676,106,2948,1
5143,143,987,19
1126,10,2041,13
2040,20,1398,3
1232,11,1411,22
5031,143,3929,30
5472,149,5290,3
2517,103,5160,25
3644,121,603,15
5089,143,1174,35
704,5,1346,7
7824,612,29,3
2574,104,3762,3
4167,127,310,28
3713,122,785,17
456,3,1548,8
2897,108,675,5
6645,248,44,18
5360,147,2303,3
5526,150,3419,9
6462,246,197,41
4755,134,301,19
692,4,1388,3
2187,22,1560,2
5899,241,546,30
2756,106,3514,26
3856,124,5276,29
1867,19,2893,25
1682,17,1603,3
7838,612,4405,17
5265,145,3759,20
8688,927,4507,13
1814,18,5177,10
3640,121,710,11
1443,13,2958,9
1064,10,1558,24
1128,10,1624,15
2159,22,1460,19
7692,345,565,7
6008,242,1312,13
8790,933,1002,0
7215,255,875,14
4467,131,4890,2
7876,714,668,4
6696,248,4562,16
1093,10,1501,15
6169,244,839,24
3793,123,1051,20
4932,142,177,31
5852,241,836,23
6811,249,3759,41
7923,904,3664,4
486,3,1671,3
5236,144,3124,27
5427,148,5266,24
79,A,3145,37
6396,246,5297,12
7376,257,1240,10
2002,20,4127,32
6296,245,3930,13
3302,116,1184,10
8570,924,708,10
7255,255,4122,6
1828,18,3520,24
3061,111,2029,20
3081,112,900,3
4118,127,2484,21
6480,247,2475,0
7334,257,5113,17
7360,257,662,37
540,3,2348,7
4798,136,1306,13
6080,243,201,22
7840,612,4392,19
1488,14,1578,6
5118,143,623,20
7264,255,4891,10
7871,714,1163,3
6295,245,3926,12
4743,134,5320,7
3393,118,934,23
569,3,1624,32
4456,130,1165,12
8519,923,3481,6
9127,948,3977,1
773,5,1680,1
7094,253,3105,34
4491,131,757,4
3206,114,516,15
3432,118,1162,27
8913,936,3734,16
5774,240,815,7
3638,121,3415,9
4547,132,1004,12
4909,142,654,8
507,3,1637,24
4978,142,655,35
4994,143,4844,3
6872,250,3512,5
58,A,283,13
2458,102,88,8
5216,144,310,23
7422,259,581,34
4432,130,2273,24
4649,133,453,11
1254,11,2817,12
2600,104,824,6
6340,245,5112,23
2036,20,2726,9
45,A,4739,31
5720,206,790,5
3984,125,2539,32
7123,253,543,29
1451,13,2348,7
4852,136,2173,7
8134,908,5357,18
8261,913,4405,9
970,8,2958,12
7446,259,1900,18
4574,132,2848,4
8608,924,2828,19
7211,255,2953,10
4280,128,613,12
3923,125,5125,11
7409,259,804,21
1637,16,2549,0
475,3,4127,27
6931,251,755,8
6976,251,301,40
4054,126,2262,20
7710,602,1164,7
6551,247,645,33
2064,21,1682,18
2727,106,2784,18
6431,246,780,8
5805,241,1045,8
8760,931,1092,14
7791,612,2011,1
1145,10,2741,6
3709,122,206,13
2816,107,93,53
4344,129,198,22
9031,941,4536,8
4808,136,1065,23
6771,249,3386,1
1004,9,2736,1
6637,248,641,10
6588,247,3891,31
1692,17,2818,13
1516,14,1408,8
1321,12,1368,7
3177,114,515,4
3329,117,147,4
5801,241,786,4
6047,243,133,27
6143,243,4562,26
4712,134,1151,11
6503,247,3111,23
7364,257,812,40
3682,122,636,5
6337,245,29,40
7736,602,543,11
7853,714,4890,2
8666,927,4509,16
1604,15,1869,2
6090,243,240,32
6525,247,340,7
3086,112,4404,8
3073,111,3209,2
3771,122,5279,1
6024,243,848,4
1402,13,1420,8
822,6,1523,5
2188,22,1388,3
1529,14,1595,21
4479,131,711,14
8252,913,4698,0
5554,151,625,8
1333,12,2493,0
885,7,2493,6
1635,16,1480,20
3266,115,1012,23
792,5,1413,6
2273,23,1612,20
5588,151,52,5
5680,152,669,9
3038,111,713,39
6943,251,762,7
8227,911,2246,10
4007,126,3139,21
18,A,614,4
5009,143,3811,8
5391,148,5346,19
2542,103,670,1
8858,934,4540,19
1,A,4562,0
1339,12,2295,6
2476,103,4794,15
4077,126,1267,5
4657,133,3814,19
8053,905,5370,1
1023,9,1466,20
3059,111,1289,18
386,2,4775,11
437,2,3522,4
7058,253,577,15
7713,602,815,10
729,5,1556,21
9167,958,64,17
2997,111,3541,8
9131,948,3944,5
2954,110,452,11
1157,10,1625,3
3415,118,1027,10
4524,132,667,1
5402,148,849,30
8253,913,4291,1
6671,248,1270,27
7572,315,624,20
9021,938,3871,4
2843,107,5288,26
450,3,1619,2
6511,247,1041,31
779,5,1637,7
2234,23,1544,16
1322,12,4896,8
3876,124,1998,15
6114,243,425,16
7031,251,726,5
7808,612,356,18
8148,909,179,6
5185,144,645,25
7977,904,735,14
1553,14,1343,11
4357,129,4033,35
2183,22,1454,18
1613,15,1396,17
4051,126,5267,17
6725,249,1217,10
1464,13,1680,1
4543,132,640,8
5328,146,2858,20
6150,244,4737,5
6604,247,4562,36
1578,15,1363,4
1291,12,2357,3
5818,241,754,1
5422,148,177,19
8712,930,1305,2
7638,319,277,13
1567,15,1868,13
1265,11,1477,4
7785,607,5151,11
4764,134,1307,9
3564,119,667,1
5639,152,3053,16
7529,315,4715,7
7645,319,1865,20
1953,20,1552,23
8117,908,4521,5
3332,117,151,7
3301,116,2235,9
4881,137,3057,9
4954,142,2831,11
654,4,1408,8
3840,124,461,13
2621,105,642,5
4979,142,1163,36
2683,106,5194,8
5368,147,2276,5
6378,246,1329,6
7323,257,824,6
5255,145,1753,10
7592,319,1162,5
235,K,1330,18
8958,937,5317,8
8392,917,150,6
4014,126,2554,3
8937,936,3036,24
5728,206,5191,13
1860,19,5138,18
2504,103,3926,12
7874,714,651,2
2152,22,1550,12
156,D,1004,10
509,3,1547,26
699,5,1448,2
1827,18,3521,23
3540,119,5276,27
4058,126,5296,24
6412,246,29,28
7634,319,1040,9
1852,19,1553,10
7630,319,402,5
865,7,1565,12
890,7,1611,10
3122,112,1877,21
3173,114,1064,0
51,A,3570,6
6241,245,860,5
4605,132,1309,1
4675,133,3103,18
8102,908,687,9
1562,15,1579,8
7288,257,2284,11
2388,102,3789,31
78,A,1815,36
5075,143,3928,21
3825,123,4201,25
2653,105,4737,5
271,N,4715,7
1753,18,3904,3
6219,245,3218,9
7382,257,5285,16
6982,251,1719,46
3019,111,1312,20
8377,917,1063,5
1552,14,1618,10
3007,111,3811,8
7342,257,3102,26
5528,150,2279,11
5237,144,1158,9
9097,947,4497,13
754,5,1430,16
180,D,612,6
1695,17,2742,16
3152,113,4826,2
7055,253,1231,12
1370,12,1454,21
4010,126,123,7
399,2,1497,0
6614,247,1174,12
3066,111,3534,25
6852,249,304,8
3605,121,4562,0
3447,118,581,34
4257,128,2305,35
5084,143,1040,30
8264,913,3813,12
7614,319,281,27
8706,930,3535,12
2214,23,5245,22
6469,246,15,48
5498,149,4714,8
9199,967,276,15
4315,129,638,5
5908,241,605,39
5226,144,4562,14
7597,319,5284,10
449,3,2555,1
1554,15,2497,0
8470,921,3642,2
2370,102,3765,13
893,7,2818,13
5453,149,2948,5
7228,255,549,13
3898,124,205,28
1054,10,3100,14
686,4,2555,1
3842,124,321,15
8237,911,762,20
5739,206,29,24
8860,934,3245,21
5722,206,5280,7
8727,931,3420,1
3654,121,607,3
2721,106,869,21
3552,119,1719,39
1927,19,4742,14
8164,909,2199,1
712,5,5269,4
7659,319,652,34
5448,149,43,15
9197,967,3053,13
6651,248,647,6
5856,241,1330,27
8778,931,4546,1
5645,152,285,22
7096,253,3526,36
3752,122,646,13
286,N,757,4
4368,129,3804,7
3566,119,1165,34
8247,911,608,30
8920,936,2279,27
2153,22,1544,13
3030,111,610,31
3510,119,1186,46
4745,134,5125,9
7308,257,1162,31
443,2,1453,5
2588,104,665,17
6118,243,423,3
1242,11,1534,10
1350,12,1447,20
2120,22,1461,5
4320,129,689,10
7972,904,1188,9
5583,151,2796,20
127,D,1330,14
2770,107,2342,7
6619,247,5285,17
6780,249,3804,10
2494,103,92,2
3857,124,5259,30
3168,113,487,18
753,5,4041,15
295,N,508,21
794,5,3525,4
4291,128,5285,12
396,2,1447,21
950,8,2031,15
1414,13,5235,20
4411,130,702,3
5493,149,610,3
8219,911,3697,1
123,D,1900,10
8154,909,4031,12
6292,245,108,9
7581,315,3919,11
6043,243,1251,23
9158,958,3962,6
4166,127,314,27
6368,246,668,16
388,2,2958,13
389,2,3521,14
7295,257,3526,18
489,3,1432,6
6407,246,944,23
6285,245,92,2
4892,138,992,0
95,D,4562,0
5262,145,486,17
8403,917,142,14
236,K,3517,19
8456,921,765,12
4853,136,669,8
3032,111,605,33
5674,152,114,3
1557,15,1398,3
1448,13,1343,14
8200,911,3195,10
5021,143,1041,20
3229,115,874,19
3245,115,586,15
757,5,3560,19
1381,13,1619,2
3677,122,4562,0
4569,132,1967,34
5978,242,1188,16
4469,131,642,4
4292,128,2784,13
8897,936,3196,26
6227,245,5159,17
7735,602,545,10
6526,247,1283,8
2228,23,5232,10
834,6,3903,17
4350,129,179,28
5988,242,3225,4
8944,936,3666,31
3532,119,2783,19
506,3,3099,23
7179,255,5309,4
1955,20,2817,25
3563,119,4562,0
3924,125,3906,12
5080,143,3566,26
5568,151,604,5
3156,113,349,6
1858,19,5178,16
919,7,1622,8
3175,114,4625,2
3630,121,1258,1
60,A,3454,15
4721,134,322,20
1115,10,2742,25
5524,150,762,7
6072,243,4129,14
6026,243,543,6
7799,612,4394,9
158,D,849,12
3520,119,4652,7
5798,241,5279,1
8046,905,5108,16
6933,251,761,10
4429,130,709,21
8876,936,3667,5
9119,948,3941,8
3356,117,4702,13
6376,246,650,4
425,2,1343,18
4374,129,809,13
6405,246,1997,21
6441,246,2954,18
6786,249,5290,16
795,6,1497,0
1101,10,3099,23
4110,127,1156,13
258,K,655,15
336,1,1396,7
2232,23,4685,14
4984,142,668,41
2881,107,4562,35
92,A,1320,4
1921,19,2817,16
6487,247,4042,7
6746,249,5190,31
5122,143,644,24
4518,131,637,19
902,7,1868,22
1774,18,1461,5
4338,129,5150,16
6704,248,2262,15
7214,255,942,13
582,4,1437,6
6621,247,2173,19
6527,247,864,9
938,8,1530,3
6736,249,509,21
7293,257,3106,16
7320,257,661,3
7397,259,1233,9
7674,319,644,6
6197,244,4740,21
6398,246,1306,14
8289,913,4274,18
8540,923,73,7
9209,967,1149,7
3516,119,634,3
2354,101,2784,2
3425,118,780,20
3384,118,4715,14
7205,255,2288,4
6888,250,4381,16
2973,110,815,7
926,8,1457,3
2655,105,3811,7
5691,206,3514,1
5235,144,3216,26
2291,100,3292,2
6962,251,1330,26
2428,102,235,2
7494,259,3225,12
3310,116,4890,2
8191,911,1901,1
5796,241,5278,13
8742,931,4425,1
2051,21,2356,5
5182,144,641,22
3435,118,5338,30
9043,941,4258,20
459,3,3100,11
1883,19,2033,15
1934,20,3227,4
3342,117,4044,17
5024,143,404,23
6473,246,122,1
2609,104,667,1
8717,930,646,7
3526,119,648,13
4460,130,3209,2
1421,13,5303,27
1701,17,1427,22
5582,151,3045,19
7938,904,3631,19
9151,958,4161,9
4029,126,390,31
4746,134,3906,10
6288,245,1038,5
6774,249,5348,4
7895,903,1249,18
6019,242,29,24
7303,257,4891,26
9195,967,271,11
9148,958,3958,6
8144,909,5278,2
7333,257,965,16
6095,243,1026,37
6793,249,2886,23
5052,143,3455,51
29,A,308,15
3193,114,2538,2
5617,152,2783,3
5893,241,497,22
1429,13,5299,6
4733,134,422,32
1271,12,2959,5
1841,18,2820,11
5082,143,1967,28
910,7,1397,14
860,7,1560,7
961,8,1396,3
6958,251,823,22
8111,908,5352,18
8634,924,3623,5
8957,937,61,7
2726,106,5285,17
4259,128,728,37
1684,17,1497,5
8515,923,4168,2
2509,103,114,17
3000,111,3792,1
2652,105,674,4
7155,253,623,18
9185,967,4508,1
2195,23,3904,3
7528,315,627,6
1175,11,2969,1
471,3,1577,23
4664,133,2945,26
2836,107,178,19
505,3,1616,22
1025,9,4920,22
6631,248,848,4
2928,110,3794,2
1797,18,5183,28
512,3,1649,29
2467,103,5157,6
3760,122,5150,5
3862,124,5306,1
2942,110,2953,16
5373,148,142,1
6722,249,349,7
7445,259,985,17
7854,714,648,3
5223,144,644,11
6402,246,294,18
8589,924,4254,29
3737,122,1042,15
5875,241,5276,4
2903,108,3015,2
1331,12,1618,20
8894,936,2274,23
1691,17,3773,12
5870,241,4027,41
8964,937,4162,14
2419,102,211,28
6683,248,394,3
6606,247,3901,4
7448,259,832,20
8787,931,3610,15
2699,106,2577,24
2179,22,1595,14
2554,104,670,1
279,N,549,15
8841,934,3675,27
5729,206,5195,14
3375,118,824,5
3515,119,632,2
4824,136,1120,7
5124,143,668,26
2310,101,4803,5
6910,251,2855,14
2385,102,4131,28
2487,103,96,26
3602,120,4108,16
8274,913,900,3
411,2,4776,12
775,5,1388,3
4052,126,293,18
1513,14,1515,5
4156,127,5159,17
4293,128,2173,14
7249,255,4376,35
7417,259,571,29
7651,319,1307,26
8994,938,3889,4
4070,126,2784,5
1628,16,1490,13
7218,255,1795,17
2752,106,3124,17
1058,10,2726,18
4236,128,5159,14
878,7,1452,25
5523,150,2711,6
2314,101,2024,9
4229,128,202,7
373,1,1624,13
4951,142,4044,8
4523,132,4562,0
8896,936,3415,25
4347,129,2490,25
9187,967,4492,3
9120,948,3943,9
6386,246,114,2
2582,104,2554,11
1422,13,5304,28
7653,319,1142,28
250,K,3526,7
6840,249,4734,0
3062,111,2116,21
6801,249,869,31
7443,259,1238,15
1667,16,2497,20
6803,249,3516,33
2660,106,3209,2
1141,10,1619,2
6476,246,5285,4
7421,259,940,33
8579,924,4591,19
8808,933,381,6
6432,246,625,9
8590,924,4258,1
869,7,1612,16
2327,101,3790,22
5263,145,480,18
2486,103,97,25
3658,121,612,14
6014,242,1330,19
2501,103,108,9
4239,128,5162,17
6649,248,3209,4
7711,602,654,8
8544,923,66,11
4720,134,320,19
2590,104,2140,19
5246,145,578,1
5409,148,4704,6
8207,911,4431,17
8418,920,1064,12
8895,936,2304,24
9128,948,3979,2
2641,105,2172,12
4171,127,923,32
1731,17,1632,21
6490,247,3804,10
4626,133,2291,19
3253,115,639,5
8225,911,775,8
1931,20,1455,1
1325,12,1420,11
5010,143,2174,9
8296,914,1178,3
7936,904,745,17
1483,14,1680,1
2154,22,2819,14
5976,242,3461,14
5152,143,2329,11
6161,244,3536,16
6726,249,949,11
8909,936,5200,12
3280,116,1320,4
1678,17,1452,5
7656,319,2784,31
3300,116,3895,8
8472,921,3639,4
5696,206,4570,6
1804,18,4802,0
4195,127,1719,17
2808,107,4133,45
2915,108,642,14
7517,310,5222,3
3013,111,4604,14
4025,126,2886,14
3422,118,613,17
4073,126,1307,23
40,A,3934,26
690,4,1680,1
3610,121,639,5
4558,132,5276,23
2213,23,5243,21
5243,144,1719,15
293,N,3460,11
8446,921,607,2
1418,13,5243,24
2201,23,1541,9
1091,10,1559,13
2891,107,2863,17
7049,253,4757,6
1985,20,1564,15
3333,117,974,8
3373,118,663,3
7858,714,666,1
8645,924,3688,34
6182,244,1177,6
7106,253,551,9
7281,257,282,4
1822,18,1616,18
5239,144,286,11
5431,148,139,28
6550,247,646,32
42,A,394,28
5473,149,5279,4
3908,124,1309,5
4514,131,624,15
7004,251,3518,24
3078,112,1002,0
530,3,3520,13
872,7,1447,19
1303,12,1419,15
6905,251,1963,9
7503,259,626,21
539,3,2741,6
2224,23,5299,6
2009,20,1503,39
3786,123,98,13
4397,130,642,4
8765,931,4538,2
8795,933,380,5
2272,23,2294,19
8029,905,1248,24
8194,911,604,4
554,3,1633,4
5225,144,668,13
8170,909,5348,7
1394,13,1629,0
1449,13,2742,20
1384,13,2959,5
3445,118,567,32
7470,259,1876,43
8384,917,4164,12
470,3,1354,22
3571,120,4625,2
1046,10,1437,6
6892,250,644,14
305,N,1248,9
5204,144,640,11
7699,345,4764,14
6920,251,2173,24
7642,319,1149,17
9059,941,3632,6
8006,905,5364,1
2286,100,1046,8
2781,107,279,18
3164,113,3876,14
7933,904,4529,14
3160,113,949,10
5221,144,330,28
498,3,1501,15
701,5,1414,4
3580,120,530,11
3525,119,644,12
7810,612,1114,20
378,2,1372,3
4270,128,611,10
3077,111,1946,42
4095,127,1876,4
8104,908,3443,11
7965,904,1244,2
4017,126,1266,6
5891,241,1156,20
2658,106,4562,0
7225,255,575,24
1117,10,3521,27
3256,115,625,8
8147,909,182,5
806,6,2348,11
601,4,1410,25
1099,10,1580,21
2027,20,2217,28
5446,149,1900,13
7670,319,698,2
8816,934,2273,2
935,8,2549,0
48,A,395,3
270,N,627,6
598,4,3560,22
5096,143,2173,9
7161,253,668,24
8578,924,4589,18
8900,936,713,3
2077,21,1461,5
4641,133,1883,3
4775,134,3890,3
1726,17,1533,16
112,D,730,17
1404,13,3100,10
6737,249,3526,22
118,D,2828,5
8064,907,4457,5
3938,125,281,26
5330,146,1039,22
1053,10,1636,13
6825,249,338,55
6686,248,864,6
3056,111,4892,15
1618,16,1625,3
492,3,4806,9
8057,905,5369,24
9029,941,2950,6
957,8,3832,22
4224,128,197,2
1147,10,1680,1
5312,146,559,4
6973,251,1154,37
5153,143,3936,0
8846,934,3065,5
1415,13,5238,21
7956,904,3460,37
2961,110,4124,18
3972,125,1218,20
8557,923,4195,3
3035,111,711,36
1120,10,1618,30
4676,133,2342,29
8491,921,2281,23
5593,151,3415,10
5814,241,2173,17
4153,127,5149,14
149,D,1318,3
5924,241,1165,20
1306,12,4897,18
1369,12,2041,20
193,D,642,4
225,K,650,8
