id,route_type_id
A,3
D,3
K,3
N,3
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
100,3
101,3
102,3
103,3
104,3
105,3
106,3
107,3
108,3
110,3
111,3
112,3
113,3
114,3
115,3
116,3
117,3
118,3
119,3
120,3
121,3
122,3
123,3
124,3
125,3
126,3
127,3
128,3
129,3
130,3
131,3
132,3
133,3
134,3
136,3
137,3
138,3
142,3
143,3
144,3
145,3
146,3
147,3
148,3
149,3
150,3
151,3
152,3
206,3
240,3
241,3
242,3
243,3
244,3
245,3
246,3
247,3
248,3
249,3
250,3
251,3
253,3
255,3
257,3
259,3
310,3
315,3
319,3
345,3
602,3
607,3
612,3
714,3
903,3
904,3
905,3
907,3
908,3
909,3
911,3
913,3
914,3
917,3
920,3
921,3
923,3
924,3
927,3
930,3
931,3
933,3
934,3
936,3
937,3
938,3
941,3
947,3
948,3
958,3
967,3
